=== DETALHAMENTO POR BRANCH (Últimos 10 Commits) ===
Data de Geração: 02/10/2025 17:21:19
""
Projeto,Grupo,Branch,Usuários,Total Commits,Commits com IA,% IA,Commits sem IA,% sem IA
ML Pipeline,analytics/modelagem/ferramentas,main,2,2,0,0.0,2,100.0
ms-query-api,tr_rssouza,main,1,10,0,0.0,10,100.0
Toolbox,analytics/modelagem/ferramentas,main,2,2,0,0.0,2,100.0
data-services,report-platform/parent,development,1,1,0,0.0,1,100.0
data-services,report-platform/parent,homolog,1,1,0,0.0,1,100.0
data-services,report-platform/parent,main,1,1,0,0.0,1,100.0
scr_crd_pf_vei_motos_brad,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,homolog,1,1,0,0.0,1,100.0
scr_crd_pf_vei_motos_brad,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,master,1,1,0,0.0,1,100.0
test_cosmodemo05,analytics/plataforma-analytics/modelos-cea/test,homolog,1,1,0,0.0,1,100.0
test_cosmodemo05,analytics/plataforma-analytics/modelos-cea/test,master,1,1,0,0.0,1,100.0
scpc-net-pj-positivo-web,tech/site-reliability-engineering/credit-services/scpc,main,1,1,0,0.0,1,100.0
scpc-net-pj-positivo-web,credit-services/scpc,development,2,3,0,0.0,3,100.0
scpc-net-pj-positivo-web,credit-services/scpc,homolog,1,1,0,0.0,1,100.0
scpc-net-pj-positivo-web,credit-services/scpc,main,1,1,0,0.0,1,100.0
test_cosmodemo04,analytics/plataforma-analytics/modelos-cea/test,homolog,1,1,0,0.0,1,100.0
test_cosmodemo04,analytics/plataforma-analytics/modelos-cea/test,master,1,1,0,0.0,1,100.0
ms-neg-api,gabriel.peixoto,main,1,10,0,0.0,10,100.0
test_testes,analytics/plataforma-analytics/modelos-cea/test,homolog,1,1,0,0.0,1,100.0
test_testes,analytics/plataforma-analytics/modelos-cea/test,master,1,1,0,0.0,1,100.0
ms-query-api,gabriel.peixoto,main,1,10,0,0.0,10,100.0
automacao-apigee,jonas.eduardo,main,2,3,0,0.0,3,100.0
Composer Airflow DI2,tech/bigdata/platform,main,1,1,0,0.0,1,100.0
goanywhere-recommendation-explained-integration,pablo.rabelo,development,1,1,0,0.0,1,100.0
goanywhere-recommendation-explained-integration,pablo.rabelo,homolog,1,1,0,0.0,1,100.0
goanywhere-recommendation-explained-integration,pablo.rabelo,main,2,2,0,0.0,2,100.0
Roteiro Negócios Analíticos,consulting-team,main,1,2,0,0.0,2,100.0
scr_crd_pf_ccr_ger_c6,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,homolog,1,1,0,0.0,1,100.0
scr_crd_pf_ccr_ger_c6,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,master,1,1,0,0.0,1,100.0
goanywhere-recommendation-explained-integration,credit-services/relatorio-credito-pf/agente-ai,development,1,1,0,0.0,1,100.0
goanywhere-recommendation-explained-integration,credit-services/relatorio-credito-pf/agente-ai,homolog,1,1,0,0.0,1,100.0
goanywhere-recommendation-explained-integration,credit-services/relatorio-credito-pf/agente-ai,main,1,1,0,0.0,1,100.0
marcacao_pj_extras,modelos-de-mercado,main,1,6,0,0.0,6,100.0
default_polarsaademov2,analytics/plataforma-analytics/modelos-indicador/default,homolog,1,1,0,0.0,1,100.0
default_polarsaademov2,analytics/plataforma-analytics/modelos-indicador/default,master,1,1,0,0.0,1,100.0
RPA0013-SYNCHRO,backoffice/rpa/uipath-ebv,main,1,2,0,0.0,2,100.0
RPA0001-REPORT-GENERICO,backoffice/rpa/uipath-ebv,main,1,2,0,0.0,2,100.0
Roteiro Backtest,consulting-team,main,1,3,0,0.0,3,100.0
scr_crd_pj_vei_ger_p7,analytics/plataforma-analytics/modelos-cea/mercado/credito/2025/pj,homolog,1,1,0,0.0,1,100.0
scr_crd_pj_vei_ger_p7,analytics/plataforma-analytics/modelos-cea/mercado/credito/2025/pj,master,1,1,0,0.0,1,100.0
agent-support,tech/site-reliability-engineering/tech/site-reliability-engineering/automacoes/mascote-ai/agents,main,2,10,0,0.0,10,100.0
agent-monitoring,tech/site-reliability-engineering/tech/site-reliability-engineering/automacoes/mascote-ai/agents,main,4,10,0,0.0,10,100.0
agent-product,tech/site-reliability-engineering/tech/site-reliability-engineering/automacoes/mascote-ai/agents,main,2,10,0,0.0,10,100.0
Agente de Produtos,tech/site-reliability-engineering/automacoes/mascote-ai/agents,development,2,10,1,10.0,9,90.0
Agente de Produtos,tech/site-reliability-engineering/automacoes/mascote-ai/agents,homolog,2,10,1,10.0,9,90.0
Agente de Produtos,tech/site-reliability-engineering/automacoes/mascote-ai/agents,main,1,1,0,0.0,1,100.0
Agente de Monitoramento,tech/site-reliability-engineering/automacoes/mascote-ai/agents,development,2,4,0,0.0,4,100.0
Agente de Monitoramento,tech/site-reliability-engineering/automacoes/mascote-ai/agents,homolog,1,1,0,0.0,1,100.0
Agente de Monitoramento,tech/site-reliability-engineering/automacoes/mascote-ai/agents,main,1,1,0,0.0,1,100.0
Agente de Suporte a Usuario,tech/site-reliability-engineering/automacoes/mascote-ai/agents,development,3,10,0,0.0,10,100.0
Agente de Suporte a Usuario,tech/site-reliability-engineering/automacoes/mascote-ai/agents,homolog,3,6,0,0.0,6,100.0
Agente de Suporte a Usuario,tech/site-reliability-engineering/automacoes/mascote-ai/agents,main,1,1,0,0.0,1,100.0
scr_crd_pj_cg_ger_p7,analytics/plataforma-analytics/modelos-cea/mercado/credito/2025/pj,homolog,1,1,0,0.0,1,100.0
scr_crd_pj_cg_ger_p7,analytics/plataforma-analytics/modelos-cea/mercado/credito/2025/pj,master,1,1,0,0.0,1,100.0
default_polarsaademov1,analytics/plataforma-analytics/modelos-indicador/default,homolog,1,1,0,0.0,1,100.0
default_polarsaademov1,analytics/plataforma-analytics/modelos-indicador/default,master,1,1,0,0.0,1,100.0
pipeline-ingestion-as400-ppe,tech/bigdata/data-engineering/d2c,main,1,1,0,0.0,1,100.0
pipeline-ingestion-as400-ppe,tech/bigdata/data-engineering/d2c,master,1,1,0,0.0,1,100.0
opentelemetry-tech-sp,argocd,master,2,3,0,0.0,3,100.0
relatorio-credito-pj-services-old,tech/site-reliability-engineering/credit-services/relatorio-credito-pj,main,2,10,0,0.0,10,100.0
scr_crd_pf_sta_deploy_v16,analytics/plataforma-analytics/modelos-cea/mercado/credito/2025/pf,homolog,4,9,0,0.0,9,100.0
scr_crd_pf_sta_deploy_v16,analytics/plataforma-analytics/modelos-cea/mercado/credito/2025/pf,master,4,10,0,0.0,10,100.0
scr_crd_pj_ccr_ger_p7,analytics/plataforma-analytics/modelos-cea/mercado/credito/2025/pj,homolog,1,1,0,0.0,1,100.0
scr_crd_pj_ccr_ger_p7,analytics/plataforma-analytics/modelos-cea/mercado/credito/2025/pj,master,1,1,0,0.0,1,100.0
Konduto Cart,analytics/modelagem/ferramentas,main,1,1,0,0.0,1,100.0
scr_crd_pf_vei_ger_teste,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,homolog,1,1,0,0.0,1,100.0
scr_crd_pf_vei_ger_teste,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,master,1,1,0,0.0,1,100.0
Testesss-deletion_scheduled-10144,tech/site-reliability-engineering/devops-tools,main,1,1,0,0.0,1,100.0
chaos-mesh-tech-sp,argocd,master,2,3,0,0.0,3,100.0
relatorio-credito-pf-lib,tech/site-reliability-engineering/credit-services/relatorio-credito-pf,main,1,1,0,0.0,1,100.0
Chaos Mesh Image,tech/site-reliability-engineering/devops-tools,main,1,10,0,0.0,10,100.0
mon-ai-java-api,tech/site-reliability-engineering/tech/monitoramento-batch,main,3,9,0,0.0,9,100.0
nubem_ipsum,bruno.rateiro,main,2,8,0,0.0,8,100.0
Chaos Mesh Argo Plugin,tech/site-reliability-engineering/devops-tools,development,1,1,0,0.0,1,100.0
Chaos Mesh Argo Plugin,tech/site-reliability-engineering/devops-tools,main,1,1,0,0.0,1,100.0
api-comunica,tech/site-reliability-engineering/recuperacao/negativacao-estrategica,main,1,1,0,0.0,1,100.0
Backstage Helm,tech/site-reliability-engineering/devops-tools,main,2,3,0,0.0,3,100.0
rnd_crd_pf_ger_ger_sicredi,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,homolog,1,1,0,0.0,1,100.0
