Project Name,Total Commits,AI Copilot Commits,AI Copilot %,AI Manual Commits,AI Manual %,No AI Commits,No AI %
ms-persist-job,29,0,0.0,0,0.0,29,100.0
ms-query-api,47,0,0.0,0,0.0,47,100.0
scr_crd_pf_sta_deploy_v14,12,0,0.0,0,0.0,12,100.0
ms-neg-api,67,0,0.0,0,0.0,67,100.0
scr_crd_pj_ger_ger_p7,1,0,0.0,0,0.0,1,100.0
ms-reproc-job,21,0,0.0,0,0.0,21,100.0
ms-notify-job,37,0,0.0,0,0.0,37,100.0
ms-query-api,62,0,0.0,0,0.0,62,100.0
ms-persist-job,19,0,0.0,0,0.0,19,100.0
ms-as400,2,0,0.0,0,0.0,2,100.0
ms-as400-gw,83,0,0.0,0,0.0,83,100.0
ms-neg-api,58,0,0.0,0,0.0,58,100.0
notebooks_auxiliares_amostragem,5,0,0.0,0,0.0,5,100.0
scr_crd_pf_ccr_ger_neon,1,0,0.0,0,0.0,1,100.0
login-service-ejb,100,0,0.0,0,0.0,100,100.0
credit-analyst,65,0,0.0,0,0.0,65,100.0
ms-params-config,16,0,0.0,0,0.0,16,100.0
scr_crd_pf_ccr_banc_specialpresentationv1,1,0,0.0,0,0.0,1,100.0
FeatureSelector,1,0,0.0,0,0.0,1,100.0
scr_crd_pf_vei_ger_vw,1,0,0.0,0,0.0,1,100.0
api-acceptance,17,0,0.0,0,0.0,17,100.0
scr_crd_pf_ger_ger_willep,12,0,0.0,0,0.0,12,100.0
scr_crd_pf_ccr_cea_cea,1,0,0.0,0,0.0,1,100.0
quickfeat,56,0,0.0,0,0.0,56,100.0
bvs-storage-notification,12,0,0.0,0,0.0,12,100.0
scr_crd_pf_vei_ger_safravdeploy,15,0,0.0,0,0.0,15,100.0
credit-analyst,84,0,0.0,0,0.0,84,100.0
ppe-df-export-data,20,0,0.0,0,0.0,20,100.0
scr_crd_pf_ger_ger_bradescard,1,0,0.0,0,0.0,1,100.0
scr_crd_pj_ccr_ger_bvs,1,0,0.0,0,0.0,1,100.0
relatorio-credito-pf-core-lib,29,0,0.0,0,0.0,29,100.0
report-platform-apoio-cadastral,50,0,0.0,0,0.0,50,100.0
report-platform-apoio-cadastral,27,0,0.0,0,0.0,27,100.0
report-platform-qa-concessao-if,1,0,0.0,0,0.0,1,100.0
faturamento_pj_notebooks,2,0,0.0,0,0.0,2,100.0
api-edh,1,0,0.0,0,0.0,1,100.0
api-ems,30,0,0.0,0,0.0,30,100.0
relatorio-credito-pf-telco-api,9,0,0.0,0,0.0,9,100.0
report-platform-acoes-civeis,67,0,0.0,0,0.0,67,100.0
scr_crd_pf_ger_ger_p7featover,15,0,0.0,0,0.0,15,100.0
scr_crd_pj_sta_deploy_v09,31,0,0.0,0,0.0,31,100.0
c2o-curl-python,1,0,0.0,0,0.0,1,100.0
portais-de-atendimento,17,0,0.0,0,0.0,17,100.0
collections,68,0,0.0,0,0.0,68,100.0
pipeline-ingestion-as400-contributor,1,0,0.0,0,0.0,1,100.0
interconnect-produtos,1,0,0.0,0,0.0,1,100.0
test_projetoteste,1,0,0.0,0,0.0,1,100.0
scr_crd_pf_ger_ger_lebes,1,0,0.0,0,0.0,1,100.0
test_0projetoteste,1,0,0.0,0,0.0,1,100.0
scr_crd_pf_ger_ger_claro,8,0,0.0,0,0.0,8,100.0
pwl-change-version,1,0,0.0,0,0.0,1,100.0
study_nucleafat,1,0,0.0,0,0.0,1,100.0
AIOps,1,0,0.0,0,0.0,1,100.0
ic-flex-if-bff,58,0,0.0,0,0.0,58,100.0
scr_prp_pj_ger_ger_bvs,1,0,0.0,0,0.0,1,100.0
default_indi,14,0,0.0,0,0.0,14,100.0
default_magalu1,1,0,0.0,0,0.0,1,100.0
report-platform-core-application-produtos,2,0,0.0,0,0.0,2,100.0
report-platform-auth-server-produtos,4,0,0.0,0,0.0,4,100.0
report-platform-product-config-produtos,3,0,0.0,0,0.0,3,100.0
report-platform-data-services-support-produtos,1,0,0.0,0,0.0,1,100.0
gfs-produtos,2,0,0.0,0,0.0,2,100.0
report-platform-data-services-produtos,3,0,0.0,0,0.0,3,100.0
scr_crd_pj_sta_deploy_v08,20,0,0.0,0,0.0,20,100.0
cypress-data2-us,2,0,0.0,0,0.0,2,100.0
default_rpfccscv4,8,0,0.0,0,0.0,8,100.0
account-service,7,0,0.0,0,0.0,7,100.0
default_icvarejolimit,8,0,0.0,0,0.0,8,100.0
scr_crd_pj_sta_deploy_v07,7,0,0.0,0,0.0,7,100.0
Inquiries,1,0,0.0,0,0.0,1,100.0
Consumer Header,1,0,0.0,0,0.0,1,100.0
Commercial Header,1,0,0.0,0,0.0,1,100.0
Boards of Trade,1,0,0.0,0,0.0,1,100.0
Bad Checks,1,0,0.0,0,0.0,1,100.0
Lawsuits,1,0,0.0,0,0.0,1,100.0
Notaries,1,0,0.0,0,0.0,1,100.0
Trades,1,0,0.0,0,0.0,1,100.0
gbp-files-encrypt,28,0,0.0,0,0.0,28,100.0
teste-sre1-tech,1,0,0.0,0,0.0,1,100.0
teste-sre-tech,6,0,0.0,0,0.0,6,100.0
BigQuery-pubsub-script,3,0,0.0,0,0.0,3,100.0
teste-sre2-tech,7,0,0.0,0,0.0,7,100.0
config-template,100,0,0.0,0,0.0,100,100.0
report-platform-healthcheck,66,0,0.0,0,0.0,66,100.0
default_magalu,1,0,0.0,0,0.0,1,100.0
relatorio-credito-pj-front,16,0,0.0,0,0.0,16,100.0
relatorio-credito-pj-bff,52,0,0.0,0,0.0,52,100.0
di-cdc-konduto,3,0,0.0,0,0.0,3,100.0
di-cdc-konduto,1,0,0.0,0,0.0,1,100.0
di-cdc-konduto-data-us,1,0,0.0,0,0.0,1,100.0
scr_crd_pj_sta_deploy_fv03,1,0,0.0,0,0.0,1,100.0
report-platform-healthcheck,96,0,0.0,0,0.0,96,100.0
scr_crd_pj_sta_deploy_v06,12,0,0.0,0,0.0,12,100.0
relatorio-credito-pj-services,22,0,0.0,0,0.0,22,100.0
bvs-dataflow2-deletion_scheduled-10123,4,0,0.0,0,0.0,4,100.0
rnd_crd_pf_ger_ger_itauv2,13,0,0.0,0,0.0,13,100.0
study_secondproject,1,0,0.0,0,0.0,1,100.0
scr_crd_pj_sta_deploy_v16,8,0,0.0,0,0.0,8,100.0
test_meuteste,1,0,0.0,0,0.0,1,100.0
scr_crd_pf_ger_ger_teste,1,0,0.0,0,0.0,1,100.0
scr_crd_pf_ger_ger_ailos,1,0,0.0,0,0.0,1,100.0
relatorio-credito-pj-preferences-ai,4,0,0.0,0,0.0,4,100.0
study_estudoesteira,1,0,0.0,0,0.0,1,100.0
modelo_fraude_bradesco_agencia,2,0,0.0,0,0.0,2,100.0
job-recriptografia,6,0,0.0,0,0.0,6,100.0
bff-ic-box-if,19,0,0.0,0,0.0,19,100.0
relatorio-credito-pj-services,79,0,0.0,0,0.0,79,100.0
relatorio-credito-pj-services,59,0,0.0,0,0.0,59,100.0
report-platform-indicadores-quimera,20,0,0.0,0,0.0,20,100.0
report-platform-indicadores-quimera,22,0,0.0,0,0.0,22,100.0
fortify-automation,35,0,0.0,0,0.0,35,100.0
mf-filter-model,2,0,0.0,0,0.0,2,100.0
study_firstproject,1,0,0.0,0,0.0,1,100.0
scr_bhv_pf_ger_ger_bradescocomportamental,1,0,0.0,0,0.0,1,100.0
rnd_aff_pf_ger_ger_bvs,12,0,0.0,0,0.0,12,100.0
ingress-gateway-negativacao-estrategica,2,0,0.0,0,0.0,2,100.0
SERVICE - IC BOX,1,0,0.0,0,0.0,1,100.0
scr_crd_pf_vei_ger_honda,1,0,0.0,0,0.0,1,100.0
scr_affordability_pf_ger_ger_bvs,1,0,0.0,0,0.0,1,100.0
Fake Api,1,0,0.0,0,0.0,1,100.0
test_ammv1,1,0,0.0,0,0.0,1,100.0
cluster-auto-stop-notifications,1,0,0.0,0,0.0,1,100.0
test_ammv0,1,0,0.0,0,0.0,1,100.0
Composer Airflow DI,24,0,0.0,0,0.0,24,100.0
scr_crd_pf_ccr_ger_casasbahia,1,0,0.0,0,0.0,1,100.0
protestos-batch,1,0,0.0,0,0.0,1,100.0
ic-flex-if-service,19,0,0.0,0,0.0,19,100.0
front-ic-box-if,48,0,0.0,0,0.0,48,100.0
default_icvarejosoftlmt,7,0,0.0,0,0.0,7,100.0
relatorio-credito-pf-telco-api,1,0,0.0,0,0.0,1,100.0
default_icvarejohardlmt,7,0,0.0,0,0.0,7,100.0
ic-flex-if-service,2,0,0.0,0,0.0,2,100.0
default_icvarejosoft,7,0,0.0,0,0.0,7,100.0
RPA0012-EBV-DP-ORQUESTRADOR-CRIAR,1,0,0.0,0,0.0,1,100.0
RPA0012-EBV-DP-ORQUESTRADOR-APROVAR,1,0,0.0,0,0.0,1,100.0
RPA0002-DISPATCHER-GENERICO,1,0,0.0,0,0.0,1,100.0
metric-store-service-layer-cpf,27,0,0.0,0,0.0,27,100.0
default_icvarejohard,8,0,0.0,0,0.0,8,100.0
