=== RELATÓRIO DE ADOÇÃO DE INTELIGÊNCIA ARTIFICIAL (Últimos 10 Commits) ===
Data de Geração: 02/10/2025 19:37:00
""
RESUMO POR PROJETO
Projeto,Grupo,Usuários Commits,Total Commits,Commits com IA,% IA,Commits sem IA,% sem IA,% do Total Geral
shipping-portal-front,tech/site-reliability-engineering/recuperacao/negativacao-estrategica/shipping-portal,3,10,0,0.0,10,100.0,0.022
scr_crd_pj_vei_ger_bradesco,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pj,1,1,0,0.0,1,100.0,0.0022
secondary-codcos-onboarding,tech/site-reliability-engineering/backoffice/batch,2,10,0,0.0,10,100.0,0.022
job-update-database,tech/site-reliability-engineering/credit-services/grupo-economico,2,10,0,0.0,10,100.0,0.022
scr_crd_pf_test_efx_bvs,analytics/plataforma-analytics/modelos-cea/mercado/credito/2025/pf,1,1,0,0.0,1,100.0,0.0022
domain-services-bvs-data-sp,argocd,3,9,0,0.0,9,100.0,0.0198
pipeline-ingestion-as400-inquiry,tech/bigdata/data-engineering/d2c,1,1,0,0.0,1,100.0,0.0022
domain-services-bvs,tech/bigdata/platform/serving-layer-platform,2,11,0,0.0,11,100.0,0.0242
pgfn-trade-api-qk,tech/site-reliability-engineering/data/dados-negativos/negativacao/pgfn,3,10,0,0.0,10,100.0,0.022
scr_crd_pf_crp_ger_99,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,1,1,0,0.0,1,100.0,0.0022
pipeline-ingestion-as400-inhibition,tech/bigdata/data-engineering/d2c,3,11,0,0.0,11,100.0,0.0242
SERVICE - IC FLEX,credit-services/interconnect-flex-if,4,23,0,0.0,23,100.0,0.0506
test_limcredpj,analytics/plataforma-analytics/modelos-indicador/test,1,1,0,0.0,1,100.0,0.0022
grupo-economico-produtos-sp,argocd,1,1,0,0.0,1,100.0,0.0022
domain-services-data-sp,argocd,1,1,0,0.0,1,100.0,0.0022
scr_prp_pj_capgiro_ger_bvs,analytics/plataforma-analytics/modelos-cea/mercado/propensao/2025/pj,3,9,0,0.0,9,100.0,0.0198
gbp-avro-merge,analytics/plataforma-analytics/bvsas,1,1,0,0.0,1,100.0,0.0022
shipping-portal-ingestor,tech/site-reliability-engineering/recuperacao/negativacao-estrategica/shipping-portal,2,10,0,0.0,10,100.0,0.022
api-acceptance,backoffice/onboarding,4,10,0,0.0,10,100.0,0.022
domain-services-bvs,tech/site-reliability-engineering/tech/bigdata/platform/serving-layer-platform,2,10,0,0.0,10,100.0,0.022
api-central-de-ajuda,tech/site-reliability-engineering/marketing-services/bluebox/site,3,5,0,0.0,5,100.0,0.011
MIGRACAO-SCRIPTS,report-platform/scripts,4,5,0,0.0,5,100.0,0.011
BAU-SCRIPTS,report-platform/scripts,3,4,0,0.0,4,100.0,0.0088
api-central-de-ajuda,marketing-services/bluebox/site,2,11,0,0.0,11,100.0,0.0242
RPA0034-CONSULTA-HISTORICA-EBV,backoffice/rpa/uipath-ebv,4,8,0,0.0,8,100.0,0.0176
RPA0011-COSMEN,backoffice/rpa/uipath-ebv,2,2,0,0.0,2,100.0,0.0044
scr_crd_pf_ger_ger_mercantil2025,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,2,11,0,0.0,11,100.0,0.0242
mock-data-scripts,analytics/monitoramento,1,1,0,0.0,1,100.0,0.0022
extratordyna,tech/csti,3,23,0,0.0,23,100.0,0.0506
Composer v2,tech/bigdata/platform,2,2,0,0.0,2,100.0,0.0044
default_umsetezeroneg,analytics/plataforma-analytics/modelos-indicador/default,3,8,0,0.0,8,100.0,0.0176
default_oitoseteneg,analytics/plataforma-analytics/modelos-indicador/default,3,7,0,0.0,7,100.0,0.0154
teste,tech/bigdata/platform/sandbox/platform,1,2,0,0.0,2,100.0,0.0044
scr_rec_pf_ger_30a60_bvs,analytics/plataforma-analytics/modelos-cea/mercado/recuperacao_collection/2025/pf,1,1,0,0.0,1,100.0,0.0022
default_novecinconeg,analytics/plataforma-analytics/modelos-indicador/default,3,7,0,0.0,7,100.0,0.0154
scr_rec_pf_ger_1a30_bvs,analytics/plataforma-analytics/modelos-cea/mercado/recuperacao_collection/2025/pf,1,1,0,0.0,1,100.0,0.0022
api-ems,tech/site-reliability-engineering/backoffice/onboarding,1,10,0,0.0,10,100.0,0.022
ms-reproc-job,tech/site-reliability-engineering/recuperacao/negativacao-estrategica/transformation,3,10,0,0.0,10,100.0,0.022
ms-notify-job,tech/site-reliability-engineering/recuperacao/negativacao-estrategica/transformation,3,10,0,0.0,10,100.0,0.022
Job Recriptografia,marketing-services/bluebox/jobs,3,4,0,0.0,4,100.0,0.0088
